﻿Dato,Wind,Temp,Sun,MWh,Flow
24-05-2020 00:00,6.88,10.13,11,169845,5895.8
25-05-2020 00:00,4.38,11.63,477,173696,6073.75
26-05-2020 00:00,1.88,11.38,549,150459,5709.43
27-05-2020 00:00,4.63,11.42,519,139126,5444.98
28-05-2020 00:00,3.29,10.13,905,151259,5732.06
29-05-2020 00:00,1.5,10.67,902,142674,5546.55
30-05-2020 00:00,2.46,14.5,882,110785,4754.35
31-05-2020 00:00,2.63,14.08,795,100396,4543.12
01-06-2020 00:00,1.5,15.04,837,97519,4487.85
02-06-2020 00:00,1.58,16.33,826,89132,4266.4
03-06-2020 00:00,2.08,15.58,551,88387,4277.4
04-06-2020 00:00,3.21,12.13,12,107757,4679.92
05-06-2020 00:00,3.71,10.63,280,123234,5039.33
06-06-2020 00:00,4.54,9.33,280,136002,5287.07
07-06-2020 00:00,1.83,10.79,228,141931,5309.11
08-06-2020 00:00,2.13,10.17,405,152210,5570.06
09-06-2020 00:00,1.25,10.21,189,151726,5690.47
10-06-2020 00:00,1.83,13.83,161,136282,5396.29
11-06-2020 00:00,4.46,17.08,266,109800,4873.77
12-06-2020 00:00,5.04,16.04,6,109800,4650.94
13-06-2020 00:00,4.83,16.96,54,97633,4548.09
14-06-2020 00:00,5.08,16.88,905,90559,4428.81
15-06-2020 00:00,1.79,16.83,936,86442,4341.14
16-06-2020 00:00,1.46,17.92,904,78606,4182.86
17-06-2020 00:00,1.58,18.38,376,73862,4057.67
18-06-2020 00:00,1.79,18.25,482,71970,4085.07
19-06-2020 00:00,2.5,15.67,5,77511,4270.47
20-06-2020 00:00,4.04,15.79,210,80786,4280.54
21-06-2020 00:00,1.96,16.33,722,80663,4317.42
22-06-2020 00:00,3.67,15.54,707,80687,4228.51
23-06-2020 00:00,1.88,15.88,944,82212,4206.76
24-06-2020 00:00,1.38,18.79,859,73278,3858.15
25-06-2020 00:00,3.38,20.33,911,65829,3792.7
26-06-2020 00:00,3.21,21.46,883,60637,3681.2
27-06-2020 00:00,2.5,20.08,494,56160,3165.6
28-06-2020 00:00,3.71,16.04,233,62193,3462.92
29-06-2020 00:00,4.54,13.83,348,77507,4181.46
30-06-2020 00:00,6.04,13.29,81,89630,4485.44
01-07-2020 00:00,2.92,14.21,125,95941,4626.28
02-07-2020 00:00,3.13,13.58,548,93394,4555.91
03-07-2020 00:00,3.5,12.08,127,103466,4953.69
04-07-2020 00:00,5.04,14.67,0,103492,4763.84
05-07-2020 00:00,6.96,14.67,95,175756.56,4731.15
06-07-2020 00:00,7.17,12.08,374,119864,5223.45
