MWh;Flow;Middel vind;Middel temp;Sol i minutter;Dato
334147;10388,13;2,46;7;0;15/12/2020
341498;10363,48;2,67;5,96;27;16/12/2020
336846;10281,87;3,96;6,71;2;17/12/2020
338686;10502,16;4,5;6,5;8;18/12/2020
327336;10289,74;3,54;5;301;19/12/2020
310498;9868,93;3,71;7,38;4;20/12/2020
331848;10434,65;4,08;5,75;89;21/12/2020
329009;10213,27;4,5;6,21;10;22/12/2020
366179;10961,6;0,83;2,38;3;23/12/2020
405706;11955,27;2,88;0,71;112;24/12/2020
433432;13113,28;1,25;-1,38;336;25/12/2020
409927;12215,17;4,83;3,08;0;26/12/2020
401230;11760,42;8,38;2,96;0;27/12/2020
401836;11727,59;2,92;2,13;0;28/12/2020
398249;11649,98;1,58;1,33;0;29/12/2020
388156;11430,5;1,5;2,71;0;30/12/2020
393859;11980,38;1,5;1,42;15;31/12/2020
403789;11811,96;0,67;0,21;34;01/01/2021
432945;12705,21;1;-0,92;14;02/01/2021
440531;12962,49;3,92;0,54;10;03/01/2021
468659;13832,28;4,5;0;0;04/01/2021
460847;13704,74;3,88;0,33;1;05/01/2021
465996;18930,2;3,79;0;0;06/01/2021
452695;13735,03;2,75;0;0;07/01/2021
453398;13663,93;2,75;0;52;08/01/2021
440507;13275,25;1,33;0,17;20;09/01/2021
428448;12901,95;2,67;1,04;4;10/01/2021
409233;12337,46;6,29;4,42;2;11/01/2021
421470;12954,31;3,71;0,71;124;12/01/2021
445509;13496,36;6,21;0,58;105;13/01/2021
483337;14562,21;3,5;-0,63;0;14/01/2021
489410;14481,36;1,5;-1,83;0;15/01/2021
474999;14038,26;1,58;-1,96;55;16/01/2021
465753;13809,78;2,17;-0,54;67;17/01/2021
456393;13512,49;2,5;1;5;18/01/2021
418965;12347,28;2,17;2,88;14;19/01/2021
388975;11447,72;7;5,88;0;20/01/2021
385985;11394,63;8,75;5,46;74;21/01/2021
398674;11815,22;6,63;4;125;22/01/2021
407771;12053,47;2,79;1,71;20;23/01/2021
399478;11888,76;0,79;0,63;111;24/01/2021
449366;13342,12;0,83;-0,92;171;25/01/2021
448094;13422,31;1,25;-0,67;377;26/01/2021
437059;12947,89;2,46;0,83;1;27/01/2021
461018;13510,09;1,04;-2,08;226;28/01/2021
480490;13920,59;3,46;-1,58;18;29/01/2021
456235;13107,48;1,88;-2,21;333;30/01/2021
434767;12483,27;1,79;-1,04;274;31/01/2021
461461;13272,61;1,46;-2,92;300;01/02/2021
506511;14115,11;1;-3,67;41;02/02/2021
503240;13767,01;6,25;-1,17;1;03/02/2021
519814;14270,98;4,88;-3,13;208;04/02/2021
545264;14866,22;6,54;-3,04;132;05/02/2021
535458;14783,49;6,54;-4,04;403;06/02/2021
557120;15306,01;8,17;-3;39;07/02/2021
563316;15494,21;7,38;-2,88;95;08/02/2021
564630;15488,76;4,96;-4,04;49;09/02/2021
552160;15003,56;2,92;-6,04;375;10/02/2021
573142;15482,96;3,25;-7,17;399;11/02/2021
580225;15868,94;1,29;-9;483;12/02/2021
554439;15014,3;0,08;-8,67;471;13/02/2021
545352;14741,57;2,25;-5,67;476;14/02/2021
525414;13999,95;3,96;-0,96;15;15/02/2021
486559;12999,39;2,96;0,08;0;16/02/2021
430615;11724,41;1,83;2,13;0;17/02/2021
392242;10668,3;3,71;4,04;84;18/02/2021
378991;10401,04;3,54;3,58;314;19/02/2021
344130;9612,86;3,17;6,38;108;20/02/2021
319484;9110,42;1,88;6,46;300;21/02/2021
341231;9464,79;2,92;6,5;366;22/02/2021
341492;9390,93;2,71;6,67;0;23/02/2021
